Hotel,City,Address,Contact,Room Type,Total Rooms,Sunday_Tariff,Monday_Tariff,Tuesday_Tariff,Wednesday_Tariff,Thursday_Tariff,Friday_Tariff,Saturday_Tariff
EEGALAPENTA HARITHA HOTEL,EEGALAPENTA(Near Srisailam Dam West),Near Srisailam Dam West,9912233234,NON A/C ROOM,15,999,999,999,999,999,999,999
EEGALAPENTA HARITHA HOTEL,EEGALAPENTA(Near Srisailam Dam West),Near Srisailam Dam West,9912233234,A/C ROOM,2,2000,1800,1800,1800,1800,2000,2000
GADWAL,GADWAL,"Haritha Hotel Gadwal, Gadwal, Jogulamba Gadwal District, Telangana",9705391200,NON A/C ROOM,4,700,700,700,700,700,700,700
GADWAL,GADWAL,"Haritha Hotel Gadwal, Gadwal, Jogulamba Gadwal District, Telangana",9705391200,A/C ROOM,3,1100,1100,1100,1100,1100,1100,1100
HARITHA HOTEL KADEM,KADEM,"Haritha Hotel Kadem, Kadem, Nirmal District, Telangana",9133053007,A/C ROOM,11,1650,1500,1500,1500,1500,1650,1650
INDUR INN,NIZAMABAD,"Haritha Hotel Indur Inn, Nizamabad, Nizamabad District, Telangana",9603667724,A/C SUITE,3,1850,1850,1850,1850,1850,1850,1850
INDUR INN,NIZAMABAD,"Haritha Hotel Indur Inn, Nizamabad, Nizamabad District, Telangana",9603667724,A/C ROOM,16,1350,1350,1350,1350,1350,1350,1350
"JANNARAM,HARITHA HOTEL",JANNARAM,"Haritha Hotel Jannaram, Jannaram, Mancherial District, Telangana",9133051007,NON A/C ROOM,4,1050,950,950,950,950,1050,1050
"JANNARAM,HARITHA HOTEL",JANNARAM,"Haritha Hotel Jannaram, Jannaram, Mancherial District, Telangana",9133051007,A/C ROOM,8,1600,1450,1450,1450,1450,1600,1600
"JANNARAM,HARITHA HOTEL",JANNARAM,"Haritha Hotel Jannaram, Jannaram, Mancherial District, Telangana",9133051007,NON A/C DORMITORY 6 BEDDED,1,1800,1600,1600,1600,1600,1800,1800
